clients mean       sd         variance
1       0.0174854  0.0003467  0.0000001
2       0.0349510  0.0002196  0.0000000
3       0.0521488  0.0008434  0.0000007
4       0.0711024  0.0006850  0.0000005
5       0.0871988  0.0005055  0.0000003
10      0.1779930  0.0050205  0.0000252
15      0.2690666  0.0034575  0.0000120
20      0.3598331  0.0051105  0.0000261
25      0.4549634  0.0056120  0.0000315
50      0.8934067  0.0187399  0.0003512
100     1.7668779  0.0154454  0.0002386
