clients mean       sd         variance
1       0.0184831  0.0001619  0.0000000
2       0.0371482  0.0002362  0.0000001
3       0.0556760  0.0007288  0.0000005
4       0.0764196  0.0002604  0.0000001
5       0.0924480  0.0011325  0.0000013
10      0.1940723  0.0059372  0.0000353
15      0.2886348  0.0040217  0.0000162
20      0.3847254  0.0051039  0.0000261
25      0.4948071  0.0112625  0.0001268
50      0.9587418  0.0180012  0.0003240
100     1.8977691  0.0271298  0.0007360
