clients mean       sd         variance
1       0.0265507  0.0002203  0.0000000
2       0.0520920  0.0004536  0.0000002
3       0.0789918  0.0006228  0.0000004
4       0.1048925  0.0007264  0.0000005
5       0.1303906  0.0010724  0.0000011
10      0.2590629  0.0030625  0.0000094
15      0.3930643  0.0042906  0.0000184
20      0.5260372  0.0149193  0.0002226
25      0.6540159  0.0143922  0.0002071
50      1.3068427  0.0125001  0.0001563
100     2.7087129  0.2580505  0.0665901
