clients mean       sd         variance
1       0.0081391  0.0001337  0.0000000
2       0.0160902  0.0000890  0.0000000
3       0.0242422  0.0000877  0.0000000
4       0.0323869  0.0001126  0.0000000
5       0.0403283  0.0001830  0.0000000
10      0.0806644  0.0003365  0.0000001
15      0.1210338  0.0014046  0.0000020
20      0.1608303  0.0015356  0.0000024
25      0.2039568  0.0007093  0.0000005
50      0.4045600  0.0018713  0.0000035
100     0.8090260  0.0012330  0.0000015
