clients mean       sd         variance
1       0.0049104  0.0001020  0.0000000
2       0.0096313  0.0000312  0.0000000
3       0.0144032  0.0000729  0.0000000
4       0.0192788  0.0001772  0.0000000
5       0.0239570  0.0002716  0.0000001
10      0.0479215  0.0002582  0.0000001
15      0.0718124  0.0019928  0.0000040
20      0.0937225  0.0017993  0.0000032
25      0.1217324  0.0025869  0.0000067
50      0.2405786  0.0010597  0.0000011
100     0.4744079  0.0085717  0.0000735
