clients mean       sd         variance
1       0.0217538  0.0004178  0.0000002
2       0.0437251  0.0004592  0.0000002
3       0.0657435  0.0004730  0.0000002
4       0.0876821  0.0006653  0.0000004
5       0.1091191  0.0009970  0.0000010
10      0.2197010  0.0011561  0.0000013
15      0.3250323  0.0063480  0.0000403
20      0.4354222  0.0035286  0.0000125
25      0.5476251  0.0045453  0.0000207
50      1.0921628  0.0106896  0.0001143
100     2.2026592  0.0108585  0.0001179
