clients mean       sd         variance
1       0.0304451  0.0004821  0.0000002
2       0.0594651  0.0006638  0.0000004
3       0.0891671  0.0013306  0.0000018
4       0.1197262  0.0010639  0.0000011
5       0.1482510  0.0012799  0.0000016
10      0.3009679  0.0044856  0.0000201
15      0.4567931  0.0055913  0.0000313
20      0.6109202  0.0134603  0.0001812
25      0.7697916  0.0146908  0.0002158
50      1.5356441  0.0114897  0.0001320
100     3.1887300  0.2954540  0.0872931
